IMO,MMSI
9279276,563004510
9279288,563004540
9554951,533062400
9320817,215939000
9320829,215940000
9328211,533000143
9300245,533000142
9373589,533793000
9537446,533000892
9444077,533065300
9526057,533059500
9536911,533048400
9534119,533059400
9534212,533051600
9680671,533180084
9680231,533180019
8110526,533158000
9676412,533130944
9676424,533130943
9473042,533041700
9537824,533001650
9715517,533130329
7340617,533001400
9509188,533692000
9508811,533690000
9559016,533000859
9559066,533000884
9559054,533000895
9389617,533000526
9537953,532052500
9537941,533052400
9502295,533048800
9474527,533697000
9516894,533000813
9502300,533000755
9438456,533633000
9310111,533558000
9564803,533001940
9541083,533050300
9513921,533887000
7306817,533731000
9530814,533170038
9530838,533170088
9429340,533000549
9645229,533170084
9656618,533130999
9396866,533797000
9561746,533000876
9568366,533000818
9555577,533036700
9592331,533004360
9605463,533170069
9530826,533170178
9532446,533170179
9559133,533049600
9305726,576075000
9369605,533002050
9532563,533039400
9398864,533065100
9606261,533004760
9543184,533001390
9474412,533180045
9237450,447075000
9237448,447076000
9717838,533180111
9717840,533180110
9717852,533180109
9717864,533180113
9717876,533180108
9566368,354391000
9577202,533067200
